day	senin	senin
day	selasa	selasa
day	rabu	rabu
day	kamis	kamis
day	jumat	jumat|jum'at
day	minggu	minggu
month	Januari	Januari
month	Februari	Februari
month	Maret	Maret
month	April	April
month	Mei	Mei
month	Juni	Juni
month	Juli	Juli
month	Agustus	Agustus
month	September	September
month	Oktober	Oktober
month	November	November
month	Desember	Desember
time	selumbari	selumbari|Kemarin dulu
time	kemarin	kemarin
time	hari ini	hari ini
time	besok	besok
time	lusa	lusa
time	tulat	tulat
time	tubin	tubin
time	pagi	pagi
time	siang	siang
time	sore	sore
time	malam	malam